new_clipi-j,event_order,id,score,event_type
clip13-2,13,0,0.036,single_question
clip13-3,13,0,0.208,single_question
clip13-4,13,0,0.036,single_question
clip13-5,13,0,0.272,single_question
clip13-1,13,1,0.136,single_question
clip13-2,13,1,0.036,single_question
clip13-3,13,1,0.136,single_question
clip13-4,13,1,0.136,single_question
clip13-5,13,1,0.136,single_question
clip13-1,13,2,0.136,single_question
clip13-2,13,2,0.036,single_question
clip13-3,13,2,0.036,single_question
clip13-4,13,2,0.136,single_question
clip13-5,13,2,0.136,single_question
clip13-1,13,3,0.136,single_question
clip13-2,13,3,0.166,single_question
clip13-3,13,3,0.036,single_question
clip13-4,13,3,0.255,single_question
clip13-5,13,3,0.136,single_question
clip13-1,13,4,0.136,single_question
clip13-2,13,4,0.036,single_question
clip13-3,13,4,0.036,single_question
clip13-4,13,4,0.036,single_question
clip13-5,13,4,0.136,single_question
clip14-1,14,0,0.329,none
clip14-2,14,0,0.466,none
clip14-3,14,0,0.433,none
clip14-4,14,0,0.417,none
clip14-5,14,0,0.329,none
clip14-1,14,1,0.136,none
clip14-2,14,1,0.136,none
clip14-3,14,1,0.136,none
clip14-4,14,1,0.036,none
clip14-5,14,1,0.136,none
clip14-1,14,2,0.136,none
clip14-2,14,2,0.136,none
clip14-3,14,2,0.136,none
clip14-4,14,2,0.136,none
clip14-5,14,2,0.136,none
clip14-1,14,3,0.136,none
clip14-2,14,3,0.136,none
clip14-3,14,3,0.126,none
clip14-4,14,3,0.136,none
clip14-5,14,3,0.136,none
clip14-1,14,4,0.136,none
clip14-2,14,4,0.175,none
clip14-3,14,4,0.136,none
clip14-4,14,4,0.036,none
clip14-5,14,4,0.136,none
clip15-1,15,0,0.474,single_activity
clip15-2,15,0,0.447,single_activity
clip15-3,15,0,0.403,single_activity
clip15-4,15,0,0.036,single_activity
clip15-5,15,0,0.136,single_activity
clip15-6,15,0,0.348,single_activity
clip15-7,15,0,0.036,single_activity
clip15-8,15,0,0.172,single_activity
clip15-9,15,0,0.136,single_activity
clip15-10,15,0,0.339,single_activity
clip15-11,15,0,0.437,single_activity
clip15-12,15,0,0.43,single_activity
clip15-13,15,0,0.036,single_activity
clip15-14,15,0,0.136,single_activity
clip15-15,15,0,0.34,single_activity
clip15-16,15,0,0.036,single_activity
clip15-17,15,0,0.136,single_activity
clip15-18,15,0,0.338,single_activity
clip15-19,15,0,0.435,single_activity
clip15-20,15,0,0.136,single_activity
clip15-1,15,1,0.136,single_activity
clip15-2,15,1,0.136,single_activity
clip15-3,15,1,0.136,single_activity
clip15-4,15,1,0.036,single_activity
clip15-10,15,1,0.225,single_activity
clip15-11,15,1,0.136,single_activity
clip15-12,15,1,0.036,single_activity
clip15-13,15,1,0.036,single_activity
clip15-14,15,1,0.036,single_activity
clip15-15,15,1,0.136,single_activity
clip15-16,15,1,0.136,single_activity
clip15-17,15,1,0.126,single_activity
clip15-18,15,1,0.036,single_activity
clip15-19,15,1,0.036,single_activity
clip15-20,15,1,0.136,single_activity
clip15-1,15,2,0.136,single_activity
clip15-2,15,2,0.136,single_activity
clip15-3,15,2,0.136,single_activity
clip15-4,15,2,0.177,single_activity
clip15-5,15,2,0.384,single_activity
clip15-6,15,2,0.136,single_activity
clip15-7,15,2,0.136,single_activity
clip15-8,15,2,0.036,single_activity
clip15-9,15,2,0.136,single_activity
clip15-10,15,2,0.036,single_activity
clip15-11,15,2,0.136,single_activity
clip15-12,15,2,0.136,single_activity
clip15-13,15,2,0.245,single_activity
clip15-14,15,2,0.226,single_activity
clip15-15,15,2,0.036,single_activity
clip15-16,15,2,0.367,single_activity
clip15-17,15,2,0.321,single_activity
clip15-18,15,2,0.136,single_activity
clip15-19,15,2,0.136,single_activity
clip15-20,15,2,0.314,single_activity
